"","OverallQual","YearRemodAdd","TotalBsmtSF","Fireplaces","GarageCars","GrLivArea","SalePrice","neighborhood"
"1",7,2003,856,0,2,1710,208500,6
"2",6,1976,1262,1,2,1262,181500,25
"3",7,2002,920,1,2,1786,223500,6
"4",7,1970,756,1,3,1717,140000,7
"5",8,2000,1145,1,3,2198,250000,14
"6",5,1995,796,0,2,1362,143000,12
"7",8,2005,1686,1,2,1694,307000,21
"8",7,1973,1107,2,2,2090,2e+05,17
"9",7,1950,952,2,2,1774,129900,18
"10",5,1950,991,2,1,1077,118000,4
"11",5,1965,1040,0,1,1040,129500,19
"12",9,2006,1175,2,3,2324,345000,16
"13",5,1962,912,0,1,912,144000,19
"14",7,2007,1494,1,3,1494,279500,6
"15",6,1960,1253,1,1,1253,157000,13
"16",7,2001,832,0,2,854,132000,4
"17",6,1970,1004,1,2,1004,149000,13
"18",4,1967,0,0,2,1296,90000,19
"19",5,2004,1114,0,2,1114,159000,20
"20",5,1965,1029,0,1,1339,139000,13
"21",8,2006,1158,1,3,2376,325300,16
"22",7,1950,637,1,1,1108,139400,10
"23",8,2002,1777,1,2,1795,230000,6
"24",5,1976,1040,1,2,1060,129900,11
"25",5,2001,1060,1,1,1060,154000,19
"26",8,2007,1566,1,3,1600,256300,16
"27",5,2000,900,0,2,900,134800,13
"28",8,2008,1704,1,3,1704,306000,16
"29",5,1997,1484,2,1,1600,207500,13
"30",4,1950,520,0,1,520,68500,4
"31",4,1950,649,0,1,1317,40000,10
"32",5,2006,1228,0,1,1228,149350,19
"33",8,2007,1234,0,2,1234,179900,6
"34",5,1959,1398,1,2,1700,165500,13
"35",9,2005,1561,1,2,1561,277500,16
"36",8,2005,1117,1,3,2452,309000,16
"37",5,1995,1097,0,2,1097,145000,6
"38",5,1990,1297,1,2,1297,153000,13
"39",5,2007,1057,0,1,1057,109000,13
"40",4,1955,0,0,0,1152,82000,8
"41",6,1965,1088,1,2,1324,160000,13
"42",5,1959,1350,2,1,1328,170000,24
"43",5,1983,840,0,2,884,144000,20
"44",5,1980,938,0,1,938,130250,6
"45",5,1959,1150,0,1,1150,141000,13
"46",9,2005,1752,1,2,1752,319900,16
"47",7,2003,1434,1,2,2149,239686,12
"48",8,2006,1656,0,3,1656,249700,21
"49",4,2008,736,0,0,1452,113000,18
"50",5,1966,955,0,1,955,127000,19
"51",6,1997,794,0,2,1470,177000,9
"52",6,1950,816,1,2,1176,114500,4
"53",5,1963,816,0,2,816,110000,10
"54",9,1987,1842,1,3,1842,385000,25
"55",5,1955,384,1,2,1360,130000,13
"56",6,1964,1425,1,2,1425,180500,13
"57",8,2000,970,0,2,1739,172500,21
"58",7,2004,860,0,2,1720,196500,6
"59",10,2006,1410,1,3,2945,438780,22
"60",5,1972,780,0,1,780,124900,6
"61",6,2004,1158,0,2,1158,158000,20
"62",5,1996,530,0,1,1111,101000,10
"63",8,2006,1370,1,2,1370,202500,16
"64",7,1950,576,0,2,1710,140000,18
"65",7,1998,1057,0,2,2034,219500,6
"66",8,2005,1143,1,3,2473,317000,16
"67",7,1989,1947,1,2,2207,180000,13
"68",7,2003,1453,0,2,1479,226000,6
"69",4,1950,747,0,1,747,80000,18
"70",7,1953,1304,1,2,2287,225000,5
"71",7,1973,2223,2,2,2223,244000,13
"72",4,2006,845,0,2,845,129500,12
"73",7,1998,832,1,2,1718,185000,9
"74",5,2003,1086,0,2,1086,144900,13
"75",3,1950,840,0,1,1605,107400,18
"76",4,1973,462,0,1,988,91000,11
"77",4,1956,952,0,1,952,135750,13
"78",5,2001,672,0,1,1285,127000,4
